sensor_name, upper_left_x,upper_left_y,lower_right_x,lower_right_y
'',0.45384615384615384,0.450920245398773,0.5507692307692308,0.5444785276073619
'',0.3384615384615385,0.4785276073619632,0.4076923076923077,0.5414110429447853
'',0.026153846153846153,0.16717791411042945,0.19076923076923077,0.34355828220858897
'',0.018461538461538463,0.3773006134969325,0.19076923076923077,0.553680981595092
'',0.016923076923076923,0.6303680981595092,0.06923076923076923,0.8236196319018405
'',0.10461538461538461,0.8113496932515337,0.1723076923076923,0.8987730061349694
'',0.4584615384615385,0.09969325153374232,0.5615384615384615,0.16717791411042945
'',0.8415384615384616,0.8282208588957055,0.9061538461538462,0.897239263803681
'',0.4246153846153846,0.2837423312883436,0.536923076923077,0.35736196319018404
'',0.32461538461538464,0.2837423312883436,0.39076923076923076,0.37423312883435583
'',0.20153846153846153,0.1687116564417178,0.28307692307692306,0.24233128834355827
'',0.39692307692307693,0.593558282208589,0.4723076923076923,0.6641104294478528
'',0.5892307692307692,0.7162576687116564,0.6584615384615384,0.7760736196319018
'',0.3830769230769231,0.6763803680981595,0.5046153846153846,0.7653374233128835
'',0.8261538461538461,0.38190184049079756,0.9753846153846154,0.5414110429447853
'',0.44,0.9202453987730062,0.44461538461538463,0.9202453987730062
'',0.4107692307692308,0.7960122699386503,0.5923076923076923,0.9723926380368099
'',0.5984615384615385,0.4401840490797546,0.7123076923076923,0.558282208588957
'',0.8276923076923077,0.6365030674846626,0.9076923076923077,0.7530674846625767
'',0.5723076923076923,0.12116564417177914,0.6846153846153846,0.19938650306748465
